UF,REGIÃO,ANO,IMPOSTO SOBRE IMPORTAÇÃO,IMPOSTO SOBRE EXPORTAÇÃO,IPI - TOTAL,IMPOSTO SOBRE A RENDA - TOTAL,IRPF,IRPJ,IMPOSTO S/ RENDA RETIDO NA FONTE,IMPOSTO S/ OPERAÇÕES FINANCEIRAS,IMPOSTO TERRITORIAL RURAL,COFINS,CONTRIBUIÇÃO PARA O PIS/PASEP,CSLL,CIDE-COMBUSTÍVEIS,CPSSS - Contrib. p/ o Plano de Segurid. Social Serv. Público,OUTRAS RECEITAS ADMINISTRADAS
AC,Norte,2020,985.175,36,4.240.199,300.199.854,62.072.029,113.486.700,124.641.125,1.897.985,1.487.344,144.057.301,76.934.968,68.168.473,0,104.836.396,14.062.545
AL,Nordeste,2020,16.616.715,19.894,72.250.365,1.033.019.967,247.567.845,340.709.902,444.742.220,3.702.913,4.421.759,729.105.726,249.770.494,229.004.663,132.127,338.365.145,48.113.883
AM,Norte,2020,762.232.236,0,169.272.676,4.468.506.184,257.090.146,2.695.103.943,1.516.312.095,44.421.130,2.348.075,4.269.533.703,1.149.824.782,1.983.534.312,14.978.664,341.440.307,272.633.042
AP,Norte,2020,309.706,12,2.684.901,236.338.731,52.232.106,112.525.772,71.580.854,2.864.199,797.788,106.365.960,62.458.965,56.187.327,0,309.464.339,4.004.358
BA,Nordeste,2020,1.030.620.381,30.131,1.583.343.871,5.997.973.283,982.824.368,2.670.174.390,2.344.974.525,25.438.593,55.878.609,5.555.103.826,1.686.822.120,1.767.716.644,2.022.455,917.452.592,9.234.435
CE,Nordeste,2020,712.512.835,2.226,652.218.015,5.315.214.147,601.900.486,2.444.764.790,2.268.548.871,18.347.619,3.743.560,3.855.584.306,1.108.484.440,1.586.572.163,40.927.710,700.664.875,87.941.018
DF,Centro-Oeste,2020,38.676.559,2.898,81.049.965,56.077.120.891,1.035.328.309,7.073.534.944,47.968.257.637,2.706.081.789,2.674.419,8.459.868.980,5.217.740.370,3.574.488.388,4.780,18.682.026.689,6.724.953.355
ES,Sudeste,2020,1.903.559.528,29.138,2.760.357.767,4.405.048.796,532.877.760,2.388.039.972,1.484.131.064,69.631.223,9.201.413,4.357.367.701,1.238.402.182,1.236.501.444,4.969.057,423.898.630,25.602.174
GO,Centro-Oeste,2020,385.559.157,36.013,424.591.468,5.342.509.382,1.095.425.138,2.538.282.616,1.708.801.628,50.697.840,203.141.981,3.158.060.036,1.171.321.966,1.298.410.495,58.192,602.951.177,162.638.156
MA,Nordeste,2020,51.723.529,-65.446,59.786.823,1.737.367.154,515.033.923,647.479.963,574.853.268,2.523.741,12.589.302,2.335.129.748,712.180.155,389.379.530,90.598.251,389.881.994,34.193.387
MG,Sudeste,2020,1.560.969.146,17.186,7.450.712.671,24.596.928.656,3.606.118.115,13.115.582.724,7.875.227.818,564.815.589,183.172.445,11.925.227.612,3.878.472.118,6.337.326.710,7.359,2.369.216.973,57.418.517
MS,Centro-Oeste,2020,1.731.995,12.705,86.269.902,2.340.505.130,566.646.794,1.031.285.097,742.573.239,31.569.632,297.484.227,1.226.575.545,488.601.312,527.512.180,458.401,331.842.783,25.128.935
